id,title,release_date,vote_average,vote_count,popularity,cast,genres,overview
969681,Spider-Man: Brand New Day,2026-07-29,7.888,1973,1875.3748,Tom Holland|Zendaya|Mark Ruffalo|Jon Bernthal|Jacob Batalon,Science Fiction|Action|Adventure,Fighting crime full-time as Spider-Man in a world that doesn't remember him—and the pressure of seeing his old friends move on without him—sparks a change in Peter Parker he may not have the power to control. But that transformation might also be the only thing that can stop a shocking new threat to the city and those he loves - a powerful villain no one can even see.
1368337,The Odyssey,2026-07-15,7.986,2986,728.3957,Matt Damon|Tom Holland|Anne Hathaway|Robert Pattinson|Himesh Patel,Adventure|Action|Fantasy,"Odysseus, the legendary King of Ithaca, embarks on a long and perilous journey home following the Trojan War. Throughout his voyage, he is forced to confront the whims of gods, mythological monsters, and trials that stretch both his cunning and his humanity to the breaking point."
1084244,Toy Story 5,2026-06-17,7.952,1197,404.7642,Joan Cusack|Tom Hanks|Tim Allen|Conan O'Brien|Scarlett Spears,Animation|Family|Comedy|Adventure,"When Bonnie receives a Lilypad tablet as a gift and becomes obsessed, Buzz, Woody, Jessie and the rest of the gang's jobs become exponentially harder when they have to go head to head with the all-new threat to playtime."
634649,Spider-Man: No Way Home,2021-12-15,7.941,22765,386.8832,Tom Holland|Zendaya|Benedict Cumberbatch|Jacob Batalon|Jon Favreau,Action|Adventure|Science Fiction,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man."
1323244,Rage of Stars,2026-08-06,4.833,6,370.7603,Andrea Tivadar|Jord Knotter|Jack McEvoy|Elijah Rowen|Małgorzata Klara,Action|Science Fiction|Thriller,"A story about a woman from the International Special Forces Unit, who has a premonition about the impending end of humanity."
1375646,Colony,2026-05-21,8.096,553,292.2132,Gianna Jun|Koo Kyo-hwan|Ji Chang-wook|Kim Shin-rock|Shin Hyun-been,Action|Horror|Science Fiction,"Professor Se-jeong is thrust into a bloody nightmare when a rapidly mutating virus is released during a biotech conference causing authorities to seal the facility. Trapped inside with no escape, Se-jeong along with a small group of survivors must fight to stay alive while the infected undergo horrific transformations."
1315772,Minions & Monsters,2026-06-24,7.499,763,264.2694,Pierre Coffin|Trey Parker|Christoph Waltz|Allison Janney|Jesse Eisenberg,Adventure|Animation|Comedy|Family|Fantasy,"This is the rambunctious, ridiculous and totally true story of how the Minions conquered Hollywood, became movie stars, lost everything, unleashed monsters onto the world and then banded together to try and save the planet from the mayhem they had just created."
1339713,Obsession,2026-05-13,8.228,4862,232.9651,Michael Johnston|Inde Navarrette|Cooper Tomlinson|Megan Lawless|Andy Richter,Horror|Thriller,"After breaking the mysterious ""One Wish Willow"" to win his crush's heart, a hopeless romantic finds himself getting exactly what he asked for but soon discovers that some desires come at a dark, sinister price."
1284041,The Last House,2026-08-06,6.917,903,218.8879,Greta Lee|Wagner Moura|Riley Chung|Noah Alexander Sosnowski|Emma Ho,Horror|Science Fiction|Thriller,A family suddenly sealed inside their home must work together to survive against dwindling resources and the ominous threat keeping them trapped.
1284465,The Death of Robin Hood,2026-06-18,6.289,232,204.5826,Hugh Jackman|Jodie Comer|Bill Skarsgård|Murray Bartlett|Noah Jupe,Adventure|Drama|Action,"Grappling with his past after a life of crime and murder, Robin Hood finds himself gravely injured after a battle he thought would be his last. In the hands of a mysterious woman, he is offered a chance at salvation."
